stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
1000,1000,Frederick Station (Frederick / King),,  43.449674, -80.487209,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
1001,1001,Frederick / Region Of Waterloo Headquarters,,  43.452334, -80.484195,,,0,,1,
1002,1002,Frederick / Otto,,  43.453004, -80.482917,,,0,,1,
1003,1003,Frederick / Samuel,,  43.454834, -80.479514,,,0,,1,
1004,1004,Frederick / Merner,,  43.456218, -80.476907,,,0,,1,
1005,1005,Union / Devitt,,  43.464003, -80.509253,,,0,,2,
1006,1006,Frederick / Frederick Mall,,  43.457932, -80.473579,,,0,,1,
1007,1007,Frederick / Ann,,  43.459292, -80.469797,,,0,,1,
1008,1008,Frederick / Bruce,,  43.460002, -80.467517,,,0,,1,
1009,1009,Frederick / Lois,,  43.460925, -80.464641,,,0,,1,
1010,1010,Frederick / River,,  43.461838, -80.461666,,,0,,1,
1011,1011,Franklin / Lindsay,,  43.396313, -80.303914,,,0,,1,
1012,1012,River / Manchester,,  43.458471, -80.454180,,,0,,1,
1013,1013,River / Lorraine,,  43.457265, -80.449484,,,0,,1,
1014,1014,River / Hickson,,  43.454293, -80.446678,,,0,,1,
1015,1015,River / Path To Secord,,  43.452848, -80.445727,,,0,,1,
1016,1016,River / Ottawa,,  43.451240, -80.444691,,,0,,1,
1017,1017,River / Stanley Park Mall,,  43.448711, -80.443145,,,0,,1,
1018,1018,River / Conway,,  43.447285, -80.442392,,,0,,1,
1019,1019,River / Bradley,,  43.445731, -80.441430,,,0,,2,
1020,1020,Maple Grove / Boxwood,,  43.427072, -80.364379,,,0,,1,
1021,1021,Maple Grove / Boxwood,,  43.426863, -80.363846,,,0,,1,
1022,1022,Huron / Strasburg,,  43.392906, -80.465135,,,0,,1,
1023,1023,Victoria / Margaret,,  43.456337, -80.489507,,,0,,1,
1025,1025,Block Line / Country Hill,,  43.417044, -80.476026,,,0,,1,
1026,1026,Oldfield / Batterswood,,  43.450833, -80.429728,,,0,,2,
1027,1027,Oldfield / Casey,,  43.453008, -80.430721,,,0,,2,
1028,1028,Block Line / Kingswood,,  43.417690, -80.473350,,,0,,1,
1029,1029,Cooper / Queen,,  43.432347, -80.308227,,,0,,1,
1030,1030,Ottawa / Heritage,,  43.454931, -80.433091,,,0,,1,
1031,1031,Franklin / Green Gate,,  43.356373, -80.285891,,,0,,1,
1032,1032,Lennox Lewis / Activa Sportsplex,,  43.422918, -80.468881,,,0,,1,
1033,1033,Block Line / Hanover,,  43.419032, -80.466603,,,0,,1,
1034,1034,The Boardwalk / Medical Centre,,  43.440152, -80.565634,,,0,,1,
1035,1035,Maple Grove / Fountain (East Side),,  43.424595, -80.378277,,,0,,2,
1036,1036,Maple Grove / Fountain (East Side),,  43.424397, -80.378127,,,0,,1,
1037,1037,The Boardwalk / Medical Centre,,  43.440251, -80.565484,,,0,,1,
1038,1038,Fairway / Idle Creek,,  43.441437, -80.418089,,,0,,1,
1039,1039,Fairway / Old Chicopee,,  43.436778, -80.426301,,,0,,1,
1040,1040,330 The Boardwalk,,  43.437851, -80.562986,,,0,,1,
1041,1041,Fairway / Morgan,,  43.430215, -80.431960,,,0,,1,
1042,1042,Fairway / King (East Side),,  43.428829, -80.432158,,,0,,1,
1043,1043,Fairway / King (West Side),,  43.427554, -80.432887,,,0,,1,
1044,1044,Fairway / Wabanaki,,  43.423315, -80.436234,,,0,,2,
1047,1047,Fairway / Highway 8,,  43.424030, -80.434555,,,0,,1,
