stop_id,adj_stop_ids
1000,"[1088, 1089, 1375, 1376, 1377, 1385, 1888, 1889, 2561, 2562, 2579, 3575, 6113]"
1088,"[1000, 1089, 1375, 1376, 1377, 1385, 1888, 1889, 2561, 2562, 2579, 6011, 6113]"
1089,"[1000, 1088, 1376, 1377, 1385, 1888, 1889, 2561, 2562, 2579, 2713, 6011, 6113]"
1375,"[1000, 1088, 1888, 1889, 2319, 2561, 3575, 6113]"
1376,"[1000, 1088, 1089, 1377, 1385, 1888, 1889, 2561, 2562, 2579, 2713, 6011, 6113]"
1377,"[1000, 1088, 1089, 1376, 1385, 1888, 1889, 2410, 2561, 2579, 2713, 6011, 6113]"
1385,"[1000, 1088, 1089, 1376, 1377, 1888, 2561, 2579, 2713, 3730, 6011, 6113]"
1888,"[1000, 1088, 1089, 1375, 1376, 1377, 1385, 2561, 2562, 2579, 3730, 6011, 6113]"
1889,"[1000, 1088, 1089, 1375, 1376, 1377, 2561, 2562, 2579, 6011, 6113]"
2561,"[1000, 1088, 1089, 1375, 1376, 1377, 1385, 1888, 1889, 2579, 6011, 6113]"
2562,"[1000, 1088, 1089, 1376, 1888, 1889, 1890, 6011, 6113]"
2579,"[1000, 1088, 1089, 1376, 1377, 1385, 1888, 1889, 2561, 2713, 3730, 6011, 6113]"
3575,"[1000, 1086, 1375, 2319, 2359, 2408, 6113]"
6113,"[1000, 1088, 1089, 1375, 1376, 1377, 1385, 1888, 1889, 2561, 2562, 2579, 3575, 6011]"
1001,"[1085, 1086, 2408]"
1085,"[1001, 1002]"
1086,"[1001, 1002, 2320, 2358, 3575]"
2408,"[1001, 2359, 3575]"
1002,"[1085, 1086]"
1003,[1084]
1084,[1003]
1004,[1082]
1082,[1004]
1005,[1083]
1083,"[1005, 3237]"
1006,[1080]
1080,[1006]
1007,"[1079, 1081]"
1079,"[1007, 1008]"
1081,[1007]
1008,[1079]
1009,[1077]
1077,[1009]
1010,[1076]
1076,[1010]
1011,[1543]
1543,[1011]
1012,[1074]
1074,[1012]
1013,"[1073, 2373, 2394]"
1073,"[1013, 2373, 2394]"
2373,"[1013, 1073, 2394]"
2394,"[1013, 1073, 2373]"
1014,"[1072, 3574]"
1072,"[1014, 1015]"
3574,[1014]
1015,"[1016, 1071, 1072]"
1016,"[1015, 1071, 4097, 4098]"
1071,"[1015, 1016, 4097, 4098]"
4097,"[1016, 1070, 1071, 4098]"
4098,"[1016, 1070, 1071, 4097]"
1017,"[1069, 1070, 2381]"
1069,"[1017, 1018, 1019]"
1070,"[1017, 2381, 4097, 4098]"
2381,"[1017, 1070]"
