shape_id,block_ids,trip_ids
100005,"[352677, 352678, 353913]","[3437877, 3437878, 3437879, 3437880, 3437881, 3437882, 3437883, 3437884, 3437885, 3437886, 3437887, 3437888, 3437889, 3437890, 3437891, 3437892, 3437893, 3437894, 3437895, 3437896, 3437897, 3437898, 3437899, 3437900, 3437901, 3437902, 3437903, 3437904, 3437905, 3437906, 3437907, 3437908, 3437909, 3437945]"
100007,"[352720, 352677, 352678, 353913]","[3437910, 3437911, 3437912, 3437913, 3437914, 3437915, 3437916, 3437917, 3437918, 3437919, 3437920, 3437921, 3437922, 3437923, 3437924, 3437925, 3437926, 3437927, 3437928, 3437929, 3437930, 3437931, 3437932, 3437933, 3437934, 3437935, 3437936, 3437937, 3437938, 3437939, 3437940, 3437941, 3437942, 3437943, 3437944]"
1100005,"[352678, 353913, 352677]","[3447245, 3447246, 3447247, 3447248, 3447249, 3447250, 3447251, 3447252, 3447253, 3447254, 3447255, 3447256, 3447257, 3447258, 3447260, 3447261, 3447262, 3447263]"
1100004,"[352677, 352678, 353913]","[3447259, 3447264, 3447265, 3447266, 3447267, 3447268, 3447269, 3447270, 3447271, 3447272, 3447273, 3447274, 3447275, 3447276, 3447277, 3447278, 3447279]"
120007,"[352719, 352722, 352721, 352724, 352717, 352718]","[3437803, 3437804, 3437805, 3437806, 3437807, 3437808, 3437809, 3437810, 3437811, 3437812, 3437813, 3437814, 3437815, 3437816, 3437817, 3437818, 3437819, 3437820, 3437821, 3437822, 3437823, 3437824, 3437825, 3437826, 3437827, 3437828, 3437829, 3437830, 3437831, 3437832, 3437833, 3437834, 3437835, 3437836, 3437837, 3437876]"
120008,"[352722, 352721, 352724, 352717, 352718, 352719]","[3437838, 3437839, 3437840, 3437841, 3437842, 3437843, 3437844, 3437845, 3437846, 3437847, 3437848, 3437849, 3437850, 3437851, 3437852, 3437853, 3437854, 3437855, 3437856, 3437857, 3437858, 3437859, 3437860, 3437861, 3437862, 3437863, 3437864, 3437865, 3437866, 3437867, 3437868, 3437869, 3437870, 3437871, 3437872, 3437873]"
120009,[352719],[3437874]
120010,[352717],[3437875]
130003,"[352701, 352699, 352703, 352702, 352704, 352700]","[3437700, 3437701, 3437702, 3437703, 3437704, 3437705, 3437706, 3437707, 3437708, 3437709, 3437710, 3437711, 3437712, 3437713, 3437714, 3437715, 3437716, 3437717, 3437718, 3437719, 3437720, 3437721, 3437722, 3437723, 3437724, 3437725, 3437726, 3437727, 3437728, 3437729, 3437730, 3437731, 3437732, 3437765, 3437768]"
130002,"[352703, 352700, 352699, 352702, 352704, 352701]","[3437733, 3437734, 3437735, 3437736, 3437737, 3437738, 3437739, 3437740, 3437741, 3437742, 3437743, 3437744, 3437745, 3437746, 3437747, 3437748, 3437749, 3437750, 3437751, 3437752, 3437753, 3437754, 3437755, 3437756, 3437757, 3437758, 3437759, 3437760, 3437761, 3437762, 3437763, 3437764, 3437766, 3437767, 3437769]"
160027,"[352709, 352710, 352708, 352711]","[3437628, 3437629, 3437630, 3437631, 3437632, 3437633, 3437634, 3437635, 3437636, 3437637, 3437638, 3437639, 3437640, 3437641, 3437642, 3437643, 3437644, 3437645, 3437646, 3437647, 3437648, 3437649, 3437650, 3437651, 3437652, 3437653, 3437654, 3437655, 3437656, 3437657, 3437658, 3437659, 3437660, 3437695]"
160012,[352709],[3437661]
160026,"[352710, 352708, 352711, 352709]","[3437662, 3437663, 3437664, 3437665, 3437666, 3437667, 3437668, 3437669, 3437670, 3437671, 3437672, 3437673, 3437674, 3437675, 3437676, 3437677, 3437678, 3437679, 3437680, 3437681, 3437682, 3437683, 3437684, 3437685, 3437686, 3437687, 3437688, 3437689, 3437690, 3437691, 3437692, 3437693, 3437694, 3437699]"
160029,[352711],[3437696]
160028,"[352710, 352708]","[3437697, 3437698]"
190001,"[352702, 352701, 352699, 352703, 352704, 352700]","[3437530, 3437531, 3437533, 3437536, 3437538, 3437540, 3437542, 3437544, 3437546, 3437548, 3437550, 3437551, 3437553, 3437555, 3437557, 3437559, 3437561, 3437596]"
190002,"[352700, 352703, 352704, 352702, 352701, 352699]","[3437532, 3437534, 3437535, 3437537, 3437539, 3437541, 3437543, 3437545, 3437547, 3437549, 3437552, 3437554, 3437556, 3437558, 3437560, 3437595, 3437599, 3437600]"
190004,"[352699, 352701, 352702, 352703, 352704, 352700]","[3437562, 3437564, 3437567, 3437569, 3437571, 3437573, 3437575, 3437577, 3437579, 3437581, 3437583, 3437584, 3437586, 3437588, 3437590, 3437592, 3437594, 3437598]"
190003,"[352704, 352700, 352703, 352702, 352701, 352699]","[3437563, 3437565, 3437566, 3437568, 3437570, 3437572, 3437574, 3437576, 3437578, 3437580, 3437582, 3437585, 3437587, 3437589, 3437591, 3437593, 3437597]"
10027,"[352665, 352667, 352664, 352666]","[3437946, 3437947, 3437948, 3437949, 3437950, 3437951, 3437952, 3437953, 3437954, 3437955, 3437956, 3437957, 3437958, 3437959, 3437960, 3437961, 3437962, 3437963, 3437964, 3437965, 3437966, 3437967, 3437968, 3437969, 3437970, 3437971, 3437972, 3437973, 3437974, 3437975, 3437976, 3437977, 3437978, 3437979, 3437980, 3437981]"
10010,"[352664, 352666, 352665, 352667]","[3437982, 3437983, 3437984, 3437985, 3437986, 3437987, 3437988, 3437989, 3437990, 3437991, 3437992, 3437993, 3437994, 3437995, 3437996, 3437997, 3437998, 3437999, 3438000, 3438001, 3438002, 3438003, 3438004, 3438005, 3438006, 3438007, 3438008, 3438009, 3438010, 3438011, 3438012, 3438013, 3438014, 3438015, 3438016, 3438017]"
2010013,"[352761, 352763, 352765, 352764, 352759, 352760, 352762, 352766]","[3437385, 3437386, 3437387, 3437388, 3437389, 3437390, 3437391, 3437392, 3437393, 3437394, 3437395, 3437396, 3437397, 3437398, 3437399, 3437400, 3437401, 3437402, 3437403, 3437404, 3437405, 3437406, 3437407, 3437408, 3437409, 3437410, 3437411, 3437412, 3437413, 3437414, 3437415, 3437416, 3437417, 3437418, 3437455]"
2010018,[352761],[3437419]
2010014,"[352760, 352762, 352766, 352761, 352763, 352765, 352764, 352759]","[3437420, 3437421, 3437422, 3437423, 3437424, 3437425, 3437426, 3437427, 3437428, 3437429, 3437430, 3437431, 3437432, 3437433, 3437434, 3437435, 3437436, 3437437, 3437438, 3437439, 3437440, 3437441, 3437442, 3437443, 3437444, 3437445, 3437446, 3437447, 3437448, 3437449, 3437450, 3437451, 3437452, 3437453, 3437454]"
2010012,[352759],[3437456]
2010036,"[353926, 353927]","[3447290, 3447291, 3447292, 3447293]"
2010031,"[353928, 353925]","[3447294, 3447295, 3447296, 3447297, 3447298, 3447299, 3447300]"
2020005,"[352691, 352690, 352675, 352674, 352673, 352676, 352686, 352681, 352687]","[3437314, 3437315, 3437316, 3437317, 3437318, 3437319, 3437320, 3437321, 3437322, 3437323, 3437324, 3437325, 3437326, 3437327, 3437328, 3437329, 3437330, 3437331, 3437332, 3437333, 3437334, 3437335, 3437336, 3437337, 3437338, 3437339, 3437340, 3437341, 3437342, 3437343, 3437344, 3437345, 3437346, 3437347, 3437348, 3437384]"
2020006,"[352681, 352691, 352690, 352675, 352674, 352673, 352676, 352686]","[3437349, 3437350, 3437351, 3437352, 3437353, 3437354, 3437355, 3437356, 3437357, 3437358, 3437359, 3437360, 3437361, 3437362, 3437363, 3437364, 3437365, 3437366, 3437367, 3437368, 3437369, 3437370, 3437371, 3437372, 3437373, 3437374, 3437375, 3437376, 3437377, 3437378, 3437379, 3437380, 3437381, 3437382, 3437383]"
2030012,"[352732, 352730, 352769, 352768, 352731, 352770, 352733, 352740]","[3435944, 3435945, 3435946, 3435947, 3435948, 3435949, 3435950, 3435951, 3435952, 3435953, 3435954, 3435955, 3435956, 3435957, 3435958, 3435959, 3435960, 3435961, 3435962, 3435963, 3435964, 3435966, 3435968, 3435970]"
2030013,"[352769, 352768, 352732, 352730, 352731, 352770, 352733, 352740]","[3435965, 3435967, 3435969, 3435971, 3435972, 3435973, 3435974, 3435975, 3435976, 3435977, 3435978, 3435979, 3435980, 3435981, 3435982, 3435983, 3435984, 3435985, 3435986, 3435987, 3435988, 3435989, 3435990, 3435991]"
2040012,"[352673, 352676, 352686, 352681, 352691, 352690, 352675, 352674]","[3437243, 3437244, 3437245, 3437246, 3437247, 3437248, 3437249, 3437250, 3437251, 3437252, 3437253, 3437254, 3437255, 3437256, 3437257, 3437258, 3437259, 3437260, 3437261, 3437262, 3437263, 3437264, 3437265, 3437266, 3437267, 3437268, 3437269, 3437270, 3437271, 3437272, 3437273, 3437274, 3437275, 3437276, 3437277, 3437278]"
2040011,"[352675, 352674, 352673, 352676, 352686, 352681, 352690, 352691]","[3437279, 3437280, 3437281, 3437282, 3437283, 3437284, 3437285, 3437286, 3437287, 3437288, 3437289, 3437290, 3437291, 3437292, 3437293, 3437294, 3437295, 3437296, 3437297, 3437298, 3437299, 3437300, 3437301, 3437302, 3437303, 3437304, 3437305, 3437306, 3437307, 3437308, 3437309, 3437310, 3437311, 3437312, 3437313]"
