shape_id,block_ids,trip_ids
100005,"[352998, 352939, 352940, 352942, 352943]","[3441516, 3441517, 3441518, 3441519, 3441520, 3441521, 3441522, 3441523, 3441524, 3441525, 3441526, 3441527, 3441528, 3441529, 3441530, 3441531, 3441532, 3441533, 3441534, 3441535, 3441536, 3441537, 3441538, 3441539, 3441540, 3441541, 3441542, 3441543, 3441544, 3441545, 3441546]"
100007,"[352998, 352942, 352939, 352943, 352940]","[3441547, 3441548, 3441549, 3441550, 3441551, 3441552, 3441553, 3441554, 3441555, 3441556, 3441557, 3441558, 3441559, 3441560, 3441561, 3441562, 3441563, 3441564, 3441565, 3441566, 3441567, 3441568, 3441569, 3441570, 3441571, 3441572, 3441573, 3441574, 3441575, 3441576, 3441577, 3441578]"
120007,"[352935, 352915, 352917, 352930, 352934, 352932]","[3441447, 3441448, 3441449, 3441450, 3441451, 3441452, 3441453, 3441454, 3441455, 3441456, 3441457, 3441458, 3441459, 3441460, 3441461, 3441462, 3441463, 3441464, 3441465, 3441466, 3441467, 3441468, 3441469, 3441470, 3441471, 3441472, 3441473, 3441474, 3441475, 3441476, 3441477, 3441478, 3441514]"
120010,[352934],[3441479]
120008,"[352930, 352934, 352932, 352935, 352915, 352917]","[3441480, 3441481, 3441482, 3441483, 3441484, 3441485, 3441486, 3441487, 3441488, 3441489, 3441490, 3441491, 3441492, 3441493, 3441494, 3441495, 3441496, 3441497, 3441498, 3441499, 3441500, 3441501, 3441502, 3441503, 3441504, 3441505, 3441506, 3441507, 3441508, 3441509, 3441510, 3441511, 3441512, 3441515]"
120009,[352935],[3441513]
130003,"[352954, 352955, 352956, 352953, 352952, 352951]","[3441383, 3441384, 3441385, 3441386, 3441387, 3441388, 3441389, 3441390, 3441391, 3441392, 3441393, 3441394, 3441395, 3441396, 3441397, 3441398, 3441399, 3441400, 3441401, 3441402, 3441403, 3441404, 3441405, 3441406, 3441407, 3441408, 3441409, 3441410, 3441411, 3441412, 3441413, 3441414, 3441446]"
130002,"[352951, 352952, 352954, 352955, 352956, 352953]","[3441415, 3441416, 3441417, 3441418, 3441419, 3441420, 3441421, 3441422, 3441423, 3441424, 3441425, 3441426, 3441427, 3441428, 3441429, 3441430, 3441431, 3441432, 3441433, 3441434, 3441435, 3441436, 3441437, 3441438, 3441439, 3441440, 3441441, 3441442, 3441443, 3441444, 3441445]"
160027,"[352985, 352984, 352986, 352983]","[3441317, 3441318, 3441319, 3441320, 3441321, 3441322, 3441323, 3441324, 3441325, 3441326, 3441327, 3441328, 3441329, 3441330, 3441331, 3441332, 3441333, 3441334, 3441335, 3441336, 3441337, 3441338, 3441339, 3441340, 3441341, 3441342, 3441343, 3441344, 3441345, 3441346, 3441347, 3441348]"
160026,"[352986, 352983, 352985, 352984]","[3441349, 3441350, 3441351, 3441352, 3441353, 3441354, 3441355, 3441356, 3441357, 3441358, 3441359, 3441360, 3441361, 3441362, 3441363, 3441364, 3441365, 3441366, 3441367, 3441368, 3441369, 3441370, 3441371, 3441372, 3441373, 3441374, 3441375, 3441376, 3441377, 3441378, 3441379, 3441380]"
