shape_id,block_ids,trip_ids
100006,"[352297, 354097, 352291]","[3433768, 3433774, 3433776, 3433778, 3433782, 3433793, 3433795, 3433797, 3433799, 3433801, 3433803, 3433842, 3433843, 3433844, 3433845, 3433846, 3433847, 3433848, 3433849, 3433850, 3433851, 3433852, 3433886]"
100005,"[352300, 352295, 352280, 352291]","[3433769, 3433770, 3433771, 3433772, 3433773, 3433775, 3433777, 3433779, 3433780, 3433781, 3433783, 3433784, 3433785, 3433786, 3433787, 3433788, 3433789, 3433790, 3433791, 3433792, 3433794, 3433796, 3433798, 3433800, 3433802, 3433863, 3433874, 3433875, 3433876, 3433877, 3433878, 3433879, 3433880, 3433881, 3433882, 3433883, 3433884]"
100007,"[352280, 352300, 352295, 352291]","[3433804, 3433805, 3433806, 3433807, 3433808, 3433809, 3433810, 3433811, 3433812, 3433813, 3433814, 3433815, 3433816, 3433817, 3433818, 3433819, 3433820, 3433821, 3433822, 3433823, 3433824, 3433825, 3433826, 3433827, 3433828, 3433829, 3433830, 3433864, 3433865, 3433866, 3433867, 3433868, 3433869, 3433870, 3433871, 3433872, 3433873]"
100008,"[352291, 354097, 352297]","[3433831, 3433832, 3433833, 3433834, 3433835, 3433836, 3433837, 3433838, 3433839, 3433840, 3433841, 3433853, 3433854, 3433855, 3433856, 3433857, 3433858, 3433859, 3433860, 3433861, 3433862, 3433885]"
100009,[353813],[3433887]
1100005,"[352280, 352300, 352295, 354097, 352291, 352297, 352305]","[3433666, 3433667, 3433668, 3433669, 3433680, 3433681, 3433682, 3433683, 3433684, 3433685, 3433689, 3433690, 3433693, 3433694, 3433695, 3433697, 3433699, 3433705, 3433706, 3433707, 3433708, 3433709, 3433712, 3433716, 3433717, 3433718, 3433719, 3433720, 3433721, 3433732, 3433733, 3433734, 3433735, 3433736, 3433737, 3433738, 3433739, 3433740, 3433741, 3433742, 3433743, 3433744, 3433758, 3433759, 3433760, 3433761, 3433762, 3433763, 3433764, 3433765, 3433767, 3446963, 3446964, 3446965, 3446966, 3446967, 3446968, 3446969, 3446970, 3446971, 3446972]"
1100004,"[352291, 354097, 352297, 352300, 352280, 352295, 352305]","[3433670, 3433671, 3433672, 3433673, 3433674, 3433675, 3433676, 3433677, 3433678, 3433679, 3433686, 3433687, 3433688, 3433691, 3433692, 3433696, 3433698, 3433700, 3433701, 3433702, 3433703, 3433704, 3433710, 3433711, 3433713, 3433714, 3433715, 3433722, 3433723, 3433724, 3433725, 3433726, 3433727, 3433728, 3433729, 3433730, 3433731, 3433745, 3433746, 3433747, 3433748, 3433749, 3433750, 3433751, 3433752, 3433753, 3433754, 3433755, 3433756, 3433757, 3433766, 3446973, 3446974, 3446975, 3446976, 3446977, 3446978, 3446979, 3446980, 3446981, 3446982]"
120007,"[352429, 352419, 352421, 352423, 352348, 352321, 352426, 354100, 352420, 352425, 352418, 352422, 352431, 352424, 352430]","[3433541, 3433542, 3433543, 3433544, 3433545, 3433546, 3433547, 3433548, 3433549, 3433550, 3433551, 3433552, 3433553, 3433554, 3433555, 3433556, 3433557, 3433558, 3433559, 3433560, 3433561, 3433562, 3433563, 3433564, 3433565, 3433566, 3433567, 3433568, 3433569, 3433570, 3433571, 3433572, 3433573, 3433574, 3433575, 3433576, 3433577, 3433578, 3433579, 3433580, 3433581, 3433582, 3433583, 3433584, 3433585, 3433586, 3433635, 3433643, 3433644, 3433648, 3433649, 3433650, 3433651, 3433652, 3433653, 3433654, 3433655, 3433656, 3433657]"
120008,"[352419, 352421, 352348, 352418, 352426, 352422, 352425, 352429, 352424, 352423, 354100, 352321, 352420, 352430, 352431]","[3433587, 3433588, 3433589, 3433590, 3433591, 3433592, 3433593, 3433594, 3433595, 3433596, 3433597, 3433598, 3433599, 3433600, 3433601, 3433602, 3433603, 3433604, 3433605, 3433606, 3433607, 3433608, 3433609, 3433610, 3433611, 3433612, 3433613, 3433614, 3433615, 3433616, 3433617, 3433618, 3433619, 3433620, 3433621, 3433622, 3433623, 3433624, 3433625, 3433626, 3433627, 3433628, 3433629, 3433630, 3433631, 3433632, 3433633, 3433634, 3433638, 3433641, 3433642, 3433645, 3433647, 3433658, 3433659, 3433660, 3433661, 3433662, 3433663, 3433664, 3433665]"
120009,[352321],[3433636]
120010,"[352422, 352420, 352424, 352426]","[3433637, 3433639, 3433640, 3433646]"
130002,"[352354, 352360, 352358, 352355, 352361, 352359, 352352, 352357, 352356, 352350, 352467, 352351, 352353]","[3429869, 3429870, 3429871, 3429872, 3429873, 3429874, 3429875, 3429876, 3429877, 3429878, 3429879, 3429880, 3429881, 3429882, 3429883, 3429884, 3429885, 3429886, 3429887, 3429888, 3429889, 3429890, 3429891, 3429892, 3429893, 3429894, 3429895, 3429896, 3429897, 3429898, 3429899, 3429900, 3429901, 3429902, 3429903, 3429904, 3429905, 3429906, 3429907, 3429908, 3429909, 3429910, 3429911, 3429912, 3429913, 3429914, 3429915, 3429916, 3429917, 3429918, 3429919, 3429972, 3429973, 3429974, 3429978, 3429979, 3429980, 3429981, 3429982, 3429984, 3429990]"
130003,"[352350, 352467, 352354, 352351, 352353, 352358, 352355, 352361, 352359, 352352, 352357, 352356, 352360]","[3429920, 3429921, 3429922, 3429923, 3429924, 3429925, 3429926, 3429927, 3429928, 3429929, 3429930, 3429931, 3429932, 3429933, 3429934, 3429935, 3429936, 3429937, 3429938, 3429939, 3429940, 3429941, 3429942, 3429943, 3429944, 3429945, 3429946, 3429947, 3429948, 3429949, 3429950, 3429951, 3429952, 3429953, 3429954, 3429955, 3429956, 3429957, 3429958, 3429959, 3429960, 3429961, 3429962, 3429963, 3429964, 3429965, 3429966, 3429967, 3429968, 3429969, 3429970, 3429971, 3429975, 3429976, 3429977, 3429983, 3429985, 3429988, 3429989]"
130004,[352288],[3429986]
130005,[352487],[3429987]
140002,"[352435, 352303, 352285, 352439, 352433, 352438, 352432, 352437, 352344]","[3433503, 3433504, 3433505, 3433506, 3433507, 3433508, 3433509, 3433510, 3433511, 3433512, 3433513, 3433514, 3433515, 3433516, 3433517, 3433518, 3433535, 3433537, 3433539]"
140003,"[352432, 352433, 352439, 352285, 352303, 352438, 352435, 352437, 352344]","[3433519, 3433520, 3433521, 3433522, 3433523, 3433524, 3433525, 3433526, 3433527, 3433528, 3433529, 3433530, 3433531, 3433532, 3433533, 3433534, 3433536, 3433538, 3433540]"
160026,"[352366, 352368, 352371, 352362, 352363, 352370, 353813, 352367, 352364, 352365, 352369, 352372]","[3433401, 3433402, 3433403, 3433404, 3433405, 3433406, 3433407, 3433408, 3433409, 3433410, 3433411, 3433412, 3433413, 3433414, 3433415, 3433416, 3433417, 3433418, 3433419, 3433420, 3433421, 3433422, 3433423, 3433424, 3433425, 3433426, 3433427, 3433428, 3433429, 3433430, 3433431, 3433432, 3433433, 3433434, 3433435, 3433436, 3433437, 3433475, 3433490, 3433491, 3433492, 3433493, 3433494, 3433495, 3433496, 3433497, 3433498, 3433499, 3433500, 3433501]"
160027,"[352363, 352370, 353813, 352362, 352367, 352364, 352365, 352371, 352366, 352368, 352369, 352372]","[3433438, 3433439, 3433440, 3433441, 3433442, 3433443, 3433444, 3433445, 3433446, 3433447, 3433448, 3433449, 3433450, 3433451, 3433452, 3433453, 3433454, 3433455, 3433456, 3433457, 3433458, 3433459, 3433460, 3433461, 3433462, 3433463, 3433464, 3433465, 3433466, 3433467, 3433468, 3433469, 3433470, 3433471, 3433474, 3433476, 3433478, 3433479, 3433480, 3433481, 3433482, 3433483, 3433484, 3433485, 3433486, 3433487, 3446834]"
160028,"[352368, 352369, 352366, 352372, 352367]","[3433472, 3433473, 3433477, 3433488, 3433489]"
160029,[352364],[3433502]
160012,"[352368, 352379, 352371]","[3446829, 3446830, 3446831, 3446832, 3446833]"
160033,"[352362, 352363]","[3446835, 3446836, 3446837, 3446838, 3446839, 3446840]"
