trip_id,start_time,end_time
3443635,19:00:00,19:22:00
3443636,10:00:00,10:22:00
3443637,11:00:00,11:22:00
3443638,12:00:00,12:22:00
3443639,13:00:00,13:22:00
3443640,23:00:00,23:21:00
3443641,09:00:00,09:21:00
3443642,14:00:00,14:22:00
3443643,15:00:00,15:22:00
3443644,18:00:00,18:22:00
3443645,16:00:00,16:22:00
3443646,20:00:00,20:22:00
3443647,17:00:00,17:22:00
3443648,22:00:00,22:21:00
3443649,21:00:00,21:22:00
3443650,08:15:00,08:35:00
3443651,09:15:00,09:35:00
3443652,10:15:00,10:36:00
3443653,11:15:00,11:36:00
3443654,12:15:00,12:36:00
3443655,13:15:00,13:36:00
3443656,14:15:00,14:36:00
3443657,15:15:00,15:36:00
3443658,16:15:00,16:36:00
3443659,17:15:00,17:36:00
3443660,18:15:00,18:36:00
3443661,19:15:00,19:36:00
3443662,20:15:00,20:36:00
3443663,21:15:00,21:36:00
3443664,22:15:00,22:35:00
3443665,23:15:00,23:35:00
3437877,23:30:00,23:52:00
3437878,22:30:00,22:52:00
3437879,21:00:00,21:22:00
3437880,22:00:00,22:22:00
3437881,07:30:00,07:52:00
3437882,08:00:00,08:22:00
3437883,08:30:00,08:52:00
3437884,09:00:00,09:22:00
3437885,09:30:00,09:52:00
3437886,10:00:00,10:22:00
3437887,10:30:00,10:52:00
3437888,11:00:00,11:22:00
3437889,11:30:00,11:52:00
3437890,12:00:00,12:22:00
3437891,12:30:00,12:52:00
3437892,13:00:00,13:22:00
3437893,13:30:00,13:52:00
3437894,14:00:00,14:22:00
3437895,14:30:00,14:52:00
3437896,15:00:00,15:22:00
3437897,15:30:00,15:52:00
3437898,16:00:00,16:22:00
3437899,16:30:00,16:52:00
3437900,17:00:00,17:22:00
3437901,17:30:00,17:52:00
3437902,18:00:00,18:22:00
3437903,18:30:00,18:52:00
3437904,19:00:00,19:22:00
3437905,19:30:00,19:52:00
3437906,20:00:00,20:22:00
3437907,20:30:00,20:52:00
3437908,21:30:00,21:52:00
3437909,23:00:00,23:22:00
3437910,06:30:00,06:51:00
3437911,07:00:00,07:21:00
3437912,07:30:00,07:51:00
3437913,08:00:00,08:21:00
3437914,08:30:00,08:51:00
3437915,09:00:00,09:21:00
3437916,09:30:00,09:51:00
3437917,10:00:00,10:21:00
3437918,10:30:00,10:51:00
3437919,11:00:00,11:21:00
3437920,11:30:00,11:51:00
3437921,12:00:00,12:21:00
3437922,12:30:00,12:51:00
3437923,13:00:00,13:21:00
3437924,13:30:00,13:51:00
3437925,14:00:00,14:21:00
3437926,14:30:00,14:51:00
3437927,15:00:00,15:21:00
3437928,15:30:00,15:51:00
3437929,16:00:00,16:21:00
3437930,16:30:00,16:51:00
3437931,17:00:00,17:21:00
3437932,17:30:00,17:51:00
3437933,18:00:00,18:21:00
3437934,18:30:00,18:51:00
3437935,19:00:00,19:21:00
3437936,19:30:00,19:51:00
3437937,20:00:00,20:21:00
3437938,20:30:00,20:51:00
3437939,21:00:00,21:21:00
3437940,21:30:00,21:51:00
3437941,22:00:00,22:21:00
3437942,22:30:00,22:51:00
3437943,23:00:00,23:21:00
3437944,23:30:00,23:51:00
3437945,24:00:00,24:22:00
3441516,20:25:00,20:47:00
3441517,18:55:00,19:17:00
3441518,09:55:00,10:17:00
3441519,10:55:00,11:17:00
3441520,11:55:00,12:17:00
3441521,12:55:00,13:17:00
3441522,22:55:00,23:16:00
3441523,19:25:00,19:47:00
3441524,18:25:00,18:47:00
3441525,17:25:00,17:47:00
3441526,16:25:00,16:47:00
3441527,15:25:00,15:47:00
3441528,08:55:00,09:16:00
3441529,11:25:00,11:47:00
3441530,09:25:00,09:46:00
3441531,12:25:00,12:47:00
3441532,10:25:00,10:47:00
3441533,13:25:00,13:47:00
3441534,13:55:00,14:17:00
3441535,14:25:00,14:47:00
3441536,14:55:00,15:17:00
3441537,17:55:00,18:17:00
3441538,15:55:00,16:17:00
3441539,19:55:00,20:17:00
3441540,16:55:00,17:17:00
3441541,23:25:00,23:46:00
3441542,08:25:00,08:46:00
3441543,22:25:00,22:46:00
3441544,21:55:00,22:16:00
3441545,21:25:00,21:47:00
